entity,entity_type
viðarꝛ,PER
hveðꝛungſ,PER
hloðẏníar,LOC
miðgarðz,LOC
vigriðꝛ,LOC
ſurtr,PER
Gangleri,PER
þriðí,PER
bꝛímer,LOC
okolní,LOC
níða ꝼiǫllum,LOC
ſinꝺꝛí,LOC
naſtronꝺum,LOC
na ſtrǫnꝺu,LOC
hvergelmi,LOC
niðhǫggr,PER
Gangleri,PER
Háár,PER
viðaʀ,PER
valí,PER
iða vellí,LOC
aaſgarðꝛ,LOC
þóꝛſ,PER
moði,PER
magní,PER
miǫllní,OTH
ballꝺr,PER
hǫðꝛ,PER
viða&rscapdot;,PER
vali,PER
ſurta,PER
moði,PER
magní,PER
miollní,OTH
víngniſ,PER
hoꝺꝺmímíſ,LOC
ſurta,PER
liꝼ,PER
leíꝼþraser,PER
Liꝼ,PER
leiꝼþraser,PER
hoꝺꝺmímíſ,LOC
alꝼrǫðull,PER
ꝼenrer,PER
Gangleri,PER
þoꝛr,PER
aſa,PER
þorr,PER
aku þo&rscapdot;,PER
ektoꝛ,PER
troío,LOC
ulixes,PER
loka,PER
æger,PER
hler,PER
hleſæẏ,LOC
ááſgarðz,LOC
oðinn,PER
þoꝛr,PER
nioꝛðꝛ,PER
ꝼræẏr,PER
tẏr,PER
heimꝺallr,PER
bragí,PER
viðaʀ,PER
valí,PER
ullr,PER
hæner,PER
forsetí,PER
Lokí,PER
Frígg,PER
ꝼræẏia,PER
geꝼion,PER
Iþunn,PER
Gerðꝛ,PER
Sigẏn,PER
ꝼulla,PER
ęgí,PER
ægi,PER
bragí,PER
bragí,PER
Oðínn,PER
loki,PER
hæner,PER
loki,PER
loka,PER
lokí,PER
iðunni,PER
áſgarð,LOC
loki,PER
loki,PER
iðunni,PER
áſgarð,LOC
þiaz,PER
iðunní,PER
þrẏmheim,LOC
íðunnar,PER
iðunnar,PER
aaſgarðí,LOC
loka,PER
lokí,PER
iðunní,PER
íǫtun hæíma,LOC
ꝼræẏía,PER
íotunheíma,LOC
þiaza,PER
iðunn,PER
lokí,PER
þiaz,PER
iðunnar,PER
loka,PER
aaſgarð,LOC
þiazí,PER
aaſgrinꝺer,LOC
ſkaði,PER
þiaza,PER
aaſgarðz,LOC
ballꝺri,PER
níoꝛðꝛ,PER
noa tunum,LOC
loki,PER
loki,PER
ſkaðí,PER
oðinn,PER
ſkaða,PER
þíaza,PER
æger,PER
þiazi,PER
Bragí,PER
Ǫlvallꝺí,PER
þiazí,PER
Iðí,PER
Gangr,PER
æger,PER
Bragi,PER
kvaser,PER
ꝼialarſ,PER
galarſ,PER
oðꝛærer,OTH
ſon,OTH
boðn,OTH
kuaser,PER
gillingr,PER
gillingí,PER
gillíngr,PER
ꝼiala&rscapdot;,PER
Galar,PER
ſuttungr,PER
gíllíngſ,PER
ſuttung,PER
ſuttungꝛ,PER
hnítbiǫꝛg,LOC
gunnloðu,PER
kvaſiſ,PER
oðreriſ,OTH
boðnar,OTH
ſonar,OTH
ſuttunga,PER
hnítbiarga,LOC
æger,PER
ſuttungs,PER
oðinn,PER
oðinn,PER
baugi,PER
ſuttungſ,PER
Baugi,PER
oðinn,PER
bǫlverkr,PER
bauga,PER
ſuttunga,PER
baugi,PER
ſuttungr,PER
bolverki,PER
bǫlverkr,PER
bauga,PER
ſuttungſ,PER
baugi,PER
bǫlverkſ,PER
ſuttungr,PER
bolverkr,PER
bauga,PER
baugi,PER
Bǫlverkr,PER
ratí,OTH
baugí,PER
baugí,PER
bǫlverkr,PER
baugí,PER
baugi,PER
bǫlverkr,PER
bǫlverkr,PER
baugí,PER
bolverkr,PER
gunnloð,PER
oðꝛerí,OTH
boðn,OTH
ſon,OTH
þiazi,PER
oðinn,PER
oðinn,PER
aaſgarða,LOC
ſuttungr,PER
ſuttunga,PER
oðenn,PER
oðinſ,PER
æger,PER
bragí,PER
Æger,PER
Bragí,PER
oðin,PER
þoꝛ,PER
tẏ,PER
oðinſ,PER
troiu,LOC
Priamuſ,PER
troio,LOC
bꝛimíſ,LOC
bioꝛſal,LOC
priamus,PER
troio,LOC
ꜹkuþoꝛr,PER
ektoꝛ,PER
volocronte,PER
akille,PER
aku þoꝛr,PER
akillaſ,PER
ektoꝛíſ,PER
ektoꝛ,PER
Akilles,PER
akillíſ,PER
roꝺuus,PER
ꜹku þo&rscapdot;,PER
ẏmí,PER
ǫku þo&rscapdot;,PER
akilleſ,PER
ektoꝛe,PER
alexanꝺer,PER
Alexanꝺer,PER
ala,PER
aſgarðꝛ,LOC
pirrus,PER
oðin,PER
pirruſ,PER
þoꝛſ,PER
ſurta,PER
troia,LOC
moði,PER
magní,PER
aku þoꝛſ,PER
ala,PER
viðar,PER
eneaſ,PER
troío,LOC
ektoꝛiſ,PER
ꝼrigia,PER
arnoꝛ,PER
allꝼǫðꝛ,PER
allꝼoðꝛ,PER
allꝼǫðꝛ,PER
Havarðꝛ,PER
hanga,PER
víga glumr,PER
hanga,PER
reꝼr,PER
ballꝺꝛ,PER
æẏvinꝺꝛ,PER
ſigurð,PER
ꝼarma,PER
ogloe,LOC
Glumr,PER
beíma,PER
ſigtẏr,PER
atalſ,PER
æẏvinꝺꝛ,PER
Gonꝺul,PER
ſkogul,PER
gauta tẏr,PER
ẏngva,PER
oðní,PER
valholl,LOC
ulꝼr,PER
hropta tẏr,PER
þioðolꝼr,PER
ꝼriggiar,PER
hallꝼroðꝛ,PER
þꝛíðia,PER
oðinſ,PER
æẏvindr,PER
Hermoðꝛ,PER
bragi,PER
hropta tẏr,PER
koꝛmakr,PER
ẏggr,PER
rinꝺar,PER
ſteinþo&rscapdot;,PER
gunnlaðar,PER
ulꝼr,PER
Egill,PER
viliſ,PER
mimſ,PER
mimíſ,PER
ʀeꝼr,PER
valgautr,PER
ꝼalſ,PER
Einarr,PER
hertẏſſ,PER
Ulꝼr,PER
heimꝺallr,PER
æirikſ malum,WRK
oðínn,PER
valhǫll,LOC
koꝛmakr,PER
ẏngva,PER
hroptr,PER
gungní,PER
þoꝛalꝼr,PER
hliðſkialꝼar,LOC
harekſ,PER
æẏvínꝺꝛ,PER
ſurtz,PER
bragí,PER
allꝺa ꝼǫðꝛſ,PER
æína&rscapdot;,PER
beſtlu,PER
þoꝛvarallꝺꝛ,PER
boꝛſ,PER
Suttunga,PER
oðinſ,PER
oðreriſ,OTH
boðnar,OTH
ſonar,OTH
hnítbiarga,LOC
oðínſ,PER
æína&rscapdot;,PER
kvaſiſ,PER
Einarr,PER
Ullar,PER
Ormr,PER
ꝺvalínſ,PER
reꝼr,PER
þoꝛſteíní,PER
egill,PER
oðinſ,PER
engla,LOC
Glumr,PER
æẏvínꝺr,PER
harſ,PER
gillingſ,PER
æina&rscapdot;,PER
rǫgniſ,PER
oðꝛęriſ,OTH
boðnar,OTH
æẏliꝼr,PER
ſonar,OTH
volu ſteinn,PER
mímſ,PER
þunꝺar,PER
egill,PER
Ormr,PER
viðurſ,PER
ulꝼr,PER
oleiꝼí,PER
grímníſ,PER
kvaſiſ,PER
oðræríſ,OTH
oðinſ,PER
æẏvinꝺr,PER
þoꝛ,PER
oðinſ,PER
magna,PER
moða,PER
þruðar,PER
siꝼiar,PER
ullar,PER
miǫllníſ,OTH
bilſkirniſ,LOC
ꜳſgarðz,LOC
miðgarðz,LOC
hrungníſ,PER
Geirraðar,PER
þrívallꝺa,PER
þíalva,PER
rǫſku,PER
vingníſ,PER
hloꝛu,PER
bragi,PER
